0	0	28386	0
1	0	13076	0
2	28	63706	54
3	31	54291	254
4	31	54471	252
5	38	52116	74
6	27	34451	52
7	0	14421	0
8	34	61351	272
9	86	32566	170
10	0	21261	0
11	26	37101	50
12	36	47291	70
13	0	27891	0
14	31	34476	108
15	30	58731	58
16	86	54466	170
17	28	52306	104
18	86	65651	170
19	84	30666	790
20	79	97131	308
21	84	57776	328
22	50	88426	588
23	62	59616	122
24	86	59656	170
25	0	30371	0
26	86	66946	170
27	26	54481	50
28	86	33491	170
29	25	34936	48
30	81	50271	200
31	78	120701	154
32	0	7206	0
33	31	42261	102
34	86	30571	170
35	86	38281	170
36	0	23226	0
37	76	38951	150
38	22	35491	42
39	61	48476	120
40	86	63881	170
41	86	71141	170
42	26	36311	96
43	26	30631	50
44	51	72326	142
45	32	48091	62
46	27	43861	98
47	39	52031	292
48	0	25451	0
49	37	29371	140
50	38	63791	128
51	29	73786	280
52	34	108111	66
53	27	66366	202
54	0	46606	0
55	17	57706	32
56	49	65451	96
57	43	57351	84
58	31	71681	116
59	86	96756	170
60	45	86126	88
61	51	61961	100
62	48	62041	126
63	35	107271	68
64	72	120721	606
65	22	38066	42
66	26	85366	126
67	52	117956	432
68	86	23716	170
69	48	66636	94
70	34	58261	66
71	58	61501	114
72	81	83616	160
73	86	117161	170
74	85	47781	212
75	62	86236	122
76	74	49006	146
77	66	49951	130
78	0	22606	0
79	14	47226	86
80	19	55806	60
81	16	40036	30
82	10	49686	32
83	61	96901	200
84	35	100766	68
85	53	51221	142
86	15	61186	28
87	55	122416	170
88	0	18816	0
89	9	52181	16
90	20	81476	96
91	11	36646	20
92	18	57131	82
93	21	44141	40
94	29	58686	56
95	11	51116	20
96	11	51376	20
97	26	55121	126
98	0	26131	0
99	0	20881	0
100	0	33306	0
101	0	36246	0
102	86	31356	170
103	65	70016	136
104	70	30631	138
105	12	24561	22
106	0	40536	0
107	0	32166	0
108	2	46056	2
109	0	33911	0
110	3	47701	4
111	17	72081	32
112	3	66046	4
113	0	24336	0
114	5	38881	10
115	15	86226	40
116	6	47336	16
117	2	38256	2
118	0	25596	0
119	6	39541	10
120	0	5691	0
121	6	50461	10
122	0	24711	0
123	86	65651	170
124	25	98216	112
125	11	39246	20
126	6	43926	10
127	9	43826	40
128	0	18856	0
129	12	72941	54
130	7	43136	12
131	9	53116	16
132	0	34436	0
133	0	6856	0
134	13	42976	24
135	0	24871	0
136	5	34546	8
137	78	78721	162
138	50	42561	98
139	85	66526	168
140	6	38571	10
141	0	22101	0
142	40	88626	148
143	26	78121	168
144	0	4961	0
145	8	30016	14
146	0	18766	0
147	12	59766	50
148	26	72036	138
149	35	60461	68
150	24	70451	46
151	17	71286	96
152	22	68686	102
153	86	78766	170
154	29	32371	108
155	9	43041	16
156	9	32816	16
157	16	43491	30
158	15	49136	28
159	14	36986	26
160	37	30846	72
161	85	48951	168
162	85	24631	168
163	44	62551	86
164	11	65406	24
165	2	27931	2
166	6	49941	10
167	19	78036	38
168	0	30886	0
169	11	31686	20
170	4	48866	6
171	31	72416	60
172	4	32501	6
173	16	75546	48
174	9	46296	16
175	4	38126	6
176	3	37836	4
177	30	97951	112
178	21	97401	92
179	16	44721	32
180	86	141131	170
181	6	65526	10
182	0	41766	0
183	23	100316	44
184	51	78766	100
185	9	59286	16
186	65	132916	128
187	86	5011	498
188	86	16071	170
189	7	39496	20
190	86	146056	170
191	86	4951	170
192	4	53386	8
193	3	44016	4
194	0	18261	0
195	0	29046	0
196	28	101656	54
197	19	53216	70
198	17	64291	32
199	6	45991	10
200	0	14666	0
201	4	43951	6
202	2	31271	2
203	28	99871	194
204	0	36866	0
205	8	60346	14
206	18	55791	58
207	44	71276	86
208	4	79611	6
209	28	56026	54
210	25	83851	48
211	6	46206	10
212	6	43221	10
213	14	55211	32
214	86	77091	170
215	37	68111	72
216	6	45396	10
217	2	34361	2
218	75	37466	148
219	8	39636	14
220	9	65181	22
221	17	25571	32
222	28	43726	54
223	0	17676	0
224	26	47406	50
225	47	65656	92
226	40	67106	78
227	61	70591	120
228	50	43301	98
229	59	57166	116
230	24	46681	88
231	86	23931	170
232	43	79701	84
233	3	33321	4
234	6	68326	10
235	26	77351	50
236	86	846	170
237	86	3206	170
238	0	22156	0
239	2	24871	2
