0,72,21.0
0,88,113.0
0,307,53.0
0,450,58.0
0,545,37.0
0,555,491.0
0,746,308.0
0,958,45.0
1,181,44.0
1,368,350.0
1,463,63.0
1,727,273.0
2,90,44.0
2,655,47.0
2,706,190.0
2,837,135.0
2,872,53.0
3,31,85.0
3,316,25.0
3,714,64.0
3,719,598.0
4,72,26.0
4,324,112.0
4,698,109.0
4,771,29.0
4,869,23.0
5,125,419.0
5,266,449.0
5,355,471.0
5,687,110.0
5,770,382.0
5,886,2239.0
6,327,311.0
6,382,36.0
6,621,478.0
6,958,61.0
7,75,361.0
7,714,130.0
7,756,141.0
7,823,794.0
8,96,16.0
8,101,177.0
8,351,198.0
8,470,74.0
8,714,150.0
9,433,144.0
9,463,303.0
9,627,99.0
9,638,602.0
9,651,826.0
9,830,366.0
9,839,292.0
9,892,549.0
9,903,21.0
9,980,476.0
10,217,323.0
10,553,439.0
10,586,230.0
10,725,274.0
11,145,46.0
11,201,159.0
11,220,327.0
11,261,12.0
11,267,241.0
11,463,318.0
11,466,40.0
11,485,246.0
11,795,104.0
11,994,53.0
12,381,164.0
12,604,28.0
12,886,308.0
12,890,196.0
13,23,30.0
13,44,341.0
13,124,1041.0
13,191,61.0
13,277,264.0
13,340,767.0
13,463,241.0
13,474,128.0
13,517,132.0
13,575,7.0
13,577,240.0
13,585,29.0
13,635,751.0
13,636,111.0
13,650,1386.0
13,654,67.0
13,675,265.0
13,714,176.0
13,719,294.0
13,725,293.0
13,748,154.0
13,769,104.0
13,774,49.0
13,810,186.0
13,824,76.0
13,830,4.0
13,936,91.0
13,950,75.0
13,979,813.0
13,994,34.0
14,47,974.0
14,79,109.0
14,119,56.0
14,189,286.0
14,227,316.0
14,323,137.0
14,420,234.0
14,504,133.0
14,544,11.0
14,562,819.0
14,577,215.0
14,583,138.0
14,672,71.0
14,682,114.0
14,753,143.0
14,846,521.0
14,938,43.0
14,961,162.0
15,110,135.0
15,126,98.0
15,167,557.0
15,217,261.0
15,415,68.0
15,417,40.0
15,457,714.0
15,461,110.0
15,472,59.0
15,729,91.0
15,775,521.0
15,849,391.0
15,888,233.0
15,926,59.0
15,954,227.0
15,987,396.0
16,152,23.0
16,155,759.0
16,208,390.0
16,231,6.0
16,253,30.0
16,300,344.0
16,463,45.0
16,714,136.0
16,795,49.0
16,889,44.0
16,914,230.0
16,918,239.0
16,929,22.0
17,119,228.0
17,244,25.0
17,284,111.0
17,285,130.0
17,355,321.0
17,368,759.0
17,471,439.0
17,494,147.0
17,680,107.0
17,761,107.0
17,828,1267.0
17,893,179.0
17,961,467.0
17,995,75.0
18,89,69.0
18,176,469.0
18,208,461.0
18,302,255.0
18,571,280.0
18,665,563.0
18,816,62.0
18,819,137.0
19,27,166.0
19,28,222.0
19,47,130.0
19,50,130.0
19,87,561.0
19,105,744.0
19,122,30.0
19,126,100.0
19,161,123.0
19,226,316.0
19,243,45.0
19,259,22.0
19,301,56.0
19,305,94.0
19,344,378.0
19,356,346.0
19,391,585.0
19,431,6.0
19,436,19.0
19,445,276.0
19,448,266.0
19,479,63.0
19,528,1071.0
19,531,116.0
19,544,46.0
19,546,71.0
19,604,393.0
