of	reading	1
of	good	5
of	books	1
her	time	3
her	in	9
her	reading	1
her	good	2
her	books	1
time	in	3
time	reading	1
time	good	1
time	books	1
in	reading	1
in	good	4
in	books	1
reading	good	1
reading	books	1
good	books	1
as	it	5
as	known	1
that	as	2
as	they	4
were	as	4
as	to	11
as	have	1
as	great	2
as	fortunes	1
was	it	7
it	known	1
that	it	3
they	it	4
were	it	2
it	to	15
it	have	2
great	it	1
it	fortunes	1
was	known	1
was	that	9
was	they	2
was	were	1
was	to	22
was	have	1
was	great	3
was	fortunes	1
that	known	1
they	known	1
were	known	1
known	to	1
known	have	1
great	known	1
known	fortunes	1
that	they	2
were	that	4
that	to	15
that	have	3
that	great	1
that	fortunes	1
they	to	16
they	have	3
great	they	2
they	fortunes	1
were	to	5
were	have	2
were	great	1
were	fortunes	1
to	have	13
great	to	8
to	fortunes	1
great	have	2
have	fortunes	1
great	fortunes	1
several	eminent	1
merchants	several	1
made	several	1
their	several	1
several	addresses	1
to	several	1
them	several	1
merchants	eminent	1
made	eminent	1
their	eminent	1
eminent	addresses	1
to	eminent	1
them	eminent	1
made	merchants	1
their	merchants	1
merchants	addresses	1
merchants	to	1
them	merchants	1
their	made	1
made	addresses	1
made	to	3
them	made	2
their	addresses	1
their	to	10
their	them	5
to	addresses	1
them	addresses	1
them	to	5
but	the	13
but	two	3
but	eldest	1
but	said	1
but	they	4
but	would	1
but	never	3
but	marry	1
the	said	17
the	they	8
the	would	3
the	never	3
the	marry	1
two	said	2
two	they	1
two	would	1
two	never	1
two	marry	1
eldest	said	2
eldest	they	1
eldest	would	1
eldest	never	1
eldest	marry	1
they	said	3
would	said	2
said	never	1
said	marry	1
they	would	4
they	never	1
they	marry	1
would	never	1
would	marry	1
never	marry	1
they	unless	1
unless	could	1
unless	meet	1
with	unless	1
a	unless	1
unless	duke	1
they	could	2
they	meet	1
they	with	3
a	they	7
they	duke	1
could	meet	1
with	could	1
a	could	1
could	duke	1
with	meet	1
a	meet	1
meet	duke	1
a	with	7
with	duke	1
a	duke	1
or	an	1
or	earl	1
at	or	1
or	least	1
an	earl	1
at	an	1
an	least	1
at	earl	1
earl	least	1
at	least	2
very	beauty	4
beauty	civilly	1
beauty	thanked	2
them	beauty	1
beauty	that	5
beauty	courted	1
very	civilly	1
very	thanked	1
very	them	2
very	that	5
very	courted	1
civilly	thanked	1
them	civilly	1
that	civilly	1
civilly	courted	1
her	civilly	1
them	thanked	1
that	thanked	1
thanked	courted	1
her	thanked	1
them	that	4
them	courted	1
them	her	4
that	courted	1
her	that	12
her	courted	2
and	told	4
and	them	9
and	she	12
was	and	14
and	too	1
and	young	1
and	yet	2
and	to	50
and	marry	1
them	told	3
she	told	5
was	told	3
told	too	1
told	young	1
told	yet	1
to	told	2
marry	told	1
them	she	6
was	them	3
them	too	1
them	young	1
them	yet	1
them	marry	1
she	too	1
she	young	1
she	yet	2
she	to	33
she	marry	1
was	too	1
was	young	1
was	yet	1
was	marry	1
too	young	1
too	yet	1
to	too	3
marry	too	1
young	yet	1
to	young	1
marry	young	1
to	yet	1
marry	yet	1
to	marry	5
but	chose	1
but	to	13
but	stay	2
but	her	9
but	father	4
a	but	10
but	few	1
but	years	1
but	longer	1
to	chose	1
chose	stay	1
with	chose	1
her	chose	1
chose	father	1
a	chose	1
chose	few	1
chose	years	1
chose	longer	1
to	stay	4
with	to	12
her	to	34
to	father	11
a	to	27
to	few	1
to	years	1
to	longer	2
with	stay	2
her	stay	1
stay	father	2
a	stay	4
stay	few	1
stay	years	1
stay	longer	3
her	with	8
with	father	3
with	few	1
with	years	2
with	longer	1
her	father	16
a	her	9
her	few	1
her	years	2
her	longer	1
a	father	4
father	few	1
father	years	1
father	longer	1
a	few	4
a	years	2
a	longer	2
few	years	2
few	longer	1
years	longer	1
all	at	2
once	all	1
all	the	9
merchant	all	1
all	lost	1
all	his	3
all	whole	1
all	fortune	1
once	at	1
the	at	15
merchant	at	2
at	lost	1
his	at	3
at	whole	1
at	fortune	3
once	the	3
once	lost	1
once	his	1
once	whole	1
once	fortune	1
merchant	the	18
the	lost	1
his	the	18
the	whole	3
the	fortune	2
merchant	lost	1
merchant	his	5
merchant	whole	1
merchant	fortune	1
his	lost	1
lost	whole	1
lost	fortune	1
his	whole	2
his	fortune	1
whole	fortune	1
a	excepting	2
excepting	small	1
excepting	country-house	1
at	excepting	1
great	excepting	1
excepting	distance	1
excepting	from	1
excepting	town	1
a	small	2
a	country-house	2
a	at	5
a	distance	3
a	from	4
a	town	2
small	country-house	1
at	small	1
great	small	1
small	distance	1
small	from	1
small	town	1
at	country-house	1
great	country-house	1
country-house	distance	1
country-house	from	1
country-house	town	1
great	at	1
at	distance	2
at	from	1
at	town	1
great	distance	1
great	from	1
great	town	1
distance	from	1
distance	town	1
from	town	1
and	his	15
children	and	1
his	told	2
children	told	1
children	his	4
with	tears	2
with	in	2
his	with	3
with	eyes	2
in	tears	3
his	tears	1
tears	eyes	1
his	in	7
in	eyes	1
his	eyes	2
they	most	1
they	go	1
there	they	1
and	they	7
they	work	1
for	they	4
their	they	7
they	living	1
most	go	1
there	most	1
and	most	2
most	work	1
for	most	1
their	most	1
most	living	1
there	go	1
and	go	5
go	work	1
for	go	1
their	go	2
go	living	1
there	and	1
there	work	1
there	for	1
there	their	1
there	living	1
and	work	1
and	for	11
and	living	1
for	work	3
their	work	1
work	living	1
for	living	1
their	living	1
the	answered	2
two	answered	1
eldest	answered	1
that	would	4
that	not	5
that	leave	1
the	that	13
that	town	1
they	not	6
they	leave	1
they	town	2
would	leave	1
would	town	2
not	leave	2
the	not	11
not	town	1
the	leave	3
town	leave	1
the	town	2
had	for	5
for	several	1
for	lovers	2
had	they	5
they	several	1
they	lovers	1
had	several	1
had	lovers	1
several	lovers	1
who	they	1
who	were	1
who	sure	1
who	would	2
who	be	1
who	glad	1
who	to	5
who	have	2
who	them	1
they	sure	1
they	be	2
they	glad	1
them	they	3
were	sure	1
were	would	1
were	be	3
were	glad	1
them	were	2
would	sure	1
sure	be	1
sure	glad	1
to	sure	1
have	sure	1
them	sure	1
would	be	6
would	glad	1
would	to	9
would	have	5
them	would	1
be	glad	1
to	be	20
have	be	1
them	be	2
to	glad	2
have	glad	1
them	glad	1
them	have	2
they	though	2
had	though	2
no	though	1
fortune	though	1
no	they	2
they	fortune	1
had	no	7
had	fortune	1
no	fortune	1
but	in	5
but	this	1
but	were	4
but	mistaken	1
in	this	4
they	in	3
were	in	5
in	mistaken	1
they	this	2
were	this	1
this	mistaken	1
they	mistaken	1
were	mistaken	1
for	slighted	1
for	forsook	1
for	them	2
for	in	2
for	poverty	1
their	lovers	2
their	slighted	2
their	forsook	2
their	in	3
their	poverty	2
lovers	slighted	1
and	lovers	1
lovers	forsook	1
them	lovers	1
in	lovers	1
lovers	poverty	1
and	slighted	1
slighted	forsook	1
them	slighted	1
in	slighted	1
slighted	poverty	1
and	forsook	1
and	in	19
and	poverty	1
them	forsook	1
in	forsook	1
forsook	poverty	1
them	in	3
them	poverty	1
in	poverty	1
as	not	3
as	beloved	1
as	on	2
as	account	1
of	as	4
their	as	1
as	pride	1
they	beloved	1
they	on	2
they	account	1
pride	they	1
were	not	2
were	beloved	1
were	on	2
were	account	1
of	were	3
their	were	1
were	pride	1
not	beloved	1
not	on	3
not	account	2
of	not	7
their	not	4
pride	not	1
beloved	on	1
beloved	account	1
of	beloved	1
their	beloved	1
pride	beloved	1
on	account	1
of	on	5
their	on	1
pride	on	1
of	account	1
their	account	1
pride	account	1
of	their	4
their	pride	2
every	said	1
body	said	1
they	do	2
they	deserve	1
they	pitied	1
not	do	7
do	deserve	1
to	do	4
be	do	2
do	pitied	1
not	deserve	1
not	to	14
not	be	7
not	pitied	1
to	deserve	2
be	deserve	1
deserve	pitied	1
to	pitied	1
be	pitied	1
we	are	2
glad	we	1
to	we	1
we	see	1
their	we	1
pride	we	1
we	humbled	1
glad	are	1
to	are	5
are	see	1
their	are	2
pride	are	1
are	humbled	1
glad	see	1
their	glad	1
pride	glad	1
glad	humbled	1
to	see	9
pride	to	1
to	humbled	1
their	see	1
pride	see	2
see	humbled	1
their	humbled	1
pride	humbled	1
them	let	1
go	let	1
and	let	3
let	give	1
themselves	let	1
quality	let	1
airs	let	1
in	let	1
let	milking	1
the	let	1
