0,1,398.0
0,2,464.0
0,3,412.0
0,4,440.0
0,5,401.0
0,7,417.0
0,8,407.0
0,9,432.0
0,10,413.0
0,11,455.0
0,12,424.0
0,13,414.0
0,14,392.0
0,15,412.0
0,16,424.0
0,17,439.0
0,18,379.0
0,19,413.0
0,20,431.0
0,21,467.0
0,22,413.0
0,23,427.0
0,24,424.0
0,25,416.0
0,26,387.0
0,27,408.0
0,28,453.0
0,29,441.0
0,30,461.0
0,31,432.0
0,32,413.0
0,33,365.0
0,34,449.0
0,35,419.0
0,36,427.0
0,37,423.0
0,38,410.0
0,39,403.0
0,40,432.0
0,41,448.0
0,42,427.0
0,43,401.0
0,44,418.0
0,45,438.0
0,46,409.0
0,47,408.0
0,48,387.0
0,49,439.0
0,50,399.0
0,51,415.0
0,52,429.0
1,2,400.0
1,3,397.0
1,4,401.0
1,5,406.0
1,6,440.0
1,7,379.0
1,8,399.0
1,9,381.0
1,12,408.0
1,13,390.0
1,14,384.0
1,15,433.0
1,17,429.0
1,24,420.0
1,25,459.0
1,27,388.0
1,29,429.0
1,34,399.0
1,35,372.0
1,53,411.0
1,54,408.0
1,55,437.0
1,56,459.0
1,61,402.0
1,62,389.0
1,63,454.0
1,72,480.0
2,4,410.0
2,5,386.0
2,6,430.0
2,8,408.0
2,9,396.0
2,10,403.0
2,15,439.0
2,16,445.0
2,17,428.0
2,19,377.0
2,32,445.0
2,33,387.0
2,40,436.0
2,41,403.0
2,44,422.0
2,45,406.0
2,46,414.0
2,47,403.0
2,48,404.0
2,49,411.0
2,53,417.0
2,54,443.0
2,55,425.0
2,56,397.0
2,57,407.0
2,58,425.0
2,59,414.0
2,60,364.0
3,4,430.0
3,5,412.0
3,6,447.0
3,9,429.0
3,10,410.0
3,13,429.0
3,40,408.0
3,43,397.0
3,44,443.0
3,48,400.0
3,52,441.0
3,53,415.0
4,5,408.0
4,6,420.0
4,25,406.0
4,27,421.0
4,32,415.0
4,38,436.0
4,40,414.0
4,41,415.0
4,47,421.0
4,48,410.0
4,49,456.0
4,52,370.0
4,53,417.0
4,54,430.0
4,55,392.0
4,60,406.0
4,63,424.0
4,72,427.0
4,73,420.0
4,74,431.0
4,75,388.0
4,77,392.0
5,6,402.0
5,25,451.0
5,27,416.0
5,29,421.0
5,34,427.0
5,35,414.0
5,39,402.0
5,40,398.0
5,44,423.0
5,45,383.0
5,47,397.0
5,48,407.0
5,49,446.0
5,50,391.0
5,51,456.0
5,52,421.0
5,53,398.0
5,54,405.0
5,62,432.0
5,72,378.0
5,81,439.0
5,82,399.0
5,83,429.0
5,84,379.0
6,10,431.0
6,25,415.0
6,27,443.0
6,31,409.0
6,35,441.0
6,39,386.0
6,40,396.0
6,46,407.0
6,48,414.0
6,52,456.0
6,53,481.0
6,54,435.0
8,64,410.0
9,10,402.0
9,27,467.0
9,64,404.0
9,65,407.0
10,27,417.0
13,27,427.0
15,73,418.0
16,64,410.0
17,27,430.0
19,73,381.0
21,66,445.0
21,67,521.0
21,22,407.0
22,68,413.0
23,69,413.0
23,68,439.0
25,53,405.0
27,45,474.0
27,46,418.0
27,40,455.0
27,44,439.0
27,47,422.0
27,53,464.0
27,54,457.0
27,48,446.0
27,52,468.0
29,48,401.0
29,44,406.0
29,62,408.0
29,52,422.0
29,31,432.0
31,62,397.0
32,58,439.0
35,53,391.0
40,48,399.0
41,73,398.0
44,74,401.0
44,76,417.0
44,75,374.0
45,73,385.0
45,77,404.0
48,60,387.0
48,72,411.0
48,49,423.0
48,59,440.0
48,80,392.0
48,81,433.0
48,78,402.0
48,79,399.0
49,79,433.0
49,78,424.0
49,81,432.0
49,80,435.0
51,52,448.0
51,85,431.0
52,84,409.0
54,73,413.0
55,73,366.0
61,64,360.0
66,71,467.0
66,70,417.0
80,81,442.0
82,83,381.0
