0,1,4391501 
0,2,4447166 
0,3,2581772 
0,4,2627871 
0,5,558182 
0,7,542994 
0,8,3873435 
0,9,3918884 
0,10,2539335 
0,11,2537937 
0,12,569142 
0,13,584625 
0,14,226531 
0,15,251316 
0,16,145516 
0,17,159711 
0,18,478272 
0,19,503176 
0,20,339888 
0,21,344763 
0,22,258234 
0,23,259454 
0,24,328333 
0,25,325330 
0,26,343831 
0,27,339115 
0,28,746403 
0,29,751197 
0,30,324425 
0,31,325152 
0,32,594269 
0,33,599143 
0,34,235325 
0,35,239403 
0,36,750156 
0,37,751137 
0,38,42243 
0,39,42159 
0,40,61172 
0,41,57005 
0,42,232398 
0,43,233196 
0,44,548817 
0,45,530709 
0,46,400764 
0,47,375452 
0,48,262452 
0,49,252205 
0,50,44776 
0,51,39733 
0,52,216548 
1,0,214170 
1,2,25649 
1,3,20361 
1,4,253341 
1,5,246389 
1,6,100620 
1,7,103634 
1,8,388368 
1,9,381983 
1,12,51871 
1,13,51311 
1,14,13964 
1,15,13322 
1,17,165753 
1,24,167972 
1,25,5516 
1,27,4566 
1,29,796 
1,34,4374 
1,35,89286 
1,53,95893 
1,54,386750 
1,55,388288 
1,56,815731 
1,61,810658 
1,62,77021 
1,63,72441 
1,72,22990 
2,0,22108 
2,1,52342 
2,4,50953 
2,5,240329 
2,6,243889 
2,8,157524 
2,9,151488 
2,10,250574 
2,15,252905 
2,16,297428 
2,17,293917 
2,19,46435 
2,32,28318 
2,33,479924 
2,40,464519 
2,41,885066 
2,44,894047 
2,45,166381 
2,46,174757 
2,47,393914 
2,48,386952 
2,49,436651 
2,53,418907 
2,54,604544 
2,55,606661 
2,56,709643 
2,57,721022 
2,58,434581 
2,59,434665 
2,60,585445 
3,0,564722 
3,1,149277 
3,4,150070 
3,5,765680 
3,6,743474 
3,9,987088 
3,10,997080 
3,13,577358 
3,40,568257 
3,43,688076 
3,44,681336 
3,48,1138145 
3,52,1135100 
3,53,41686 
4,0,40488 
4,1,3640 
4,2,6872 
4,3,39094 
4,5,33957 
4,6,116231 
4,25,111509 
4,27,36831 
4,32,36818 
4,38,43092 
4,40,45715 
4,41,10775 
4,47,10429 
4,48,25757 
4,49,26565 
4,52,196823 
4,53,203848 
4,54,2915 
4,55,2063 
4,60,26611 
4,63,28881 
4,72,6009 
4,73,5678 
4,74,62834 
4,75,64044 
4,77,73671 
5,0,74833 
5,1,44058 
5,2,45748 
5,3,12239 
5,4,13159 
5,6,6092 
5,25,3936 
5,27,11948 
5,29,11119 
5,34,4299 
5,35,2144 
5,39,50712 
5,40,50370 
5,44,15009 
5,45,11156 
5,47,65609 
5,48,62660 
5,49,489518 
5,50,489027 
5,51,75369 
5,52,79352 
5,53,40588 
5,54,41127 
5,62,64931 
5,72,66284 
5,81,188165 
5,82,187890 
5,83,13766 
5,84,14367 
6,1,17549 
6,2,17830 
6,3,65560 
6,4,65420 
6,5,2549 
6,10,2348 
6,25,252754 
6,27,250336 
6,31,140349 
6,35,139442 
6,39,152824 
6,40,150016 
6,46,217676 
6,48,215301 
