0,140,1.0
0,698,1.0
1,492,1.0
1,659,1.0
1,782,1.0
2,184,1.0
2,300,1.0
3,559,1.0
3,790,1.0
3,989,1.0
4,287,1.0
4,450,1.0
5,547,1.0
5,875,1.0
6,466,1.0
6,918,1.0
7,574,1.0
7,637,1.0
8,191,1.0
8,431,1.0
9,126,1.0
9,371,1.0
9,808,1.0
10,705,1.0
10,789,1.0
10,858,1.0
11,53,1.0
11,587,1.0
12,35,1.0
12,455,1.0
13,477,1.0
13,549,7.0
13,574,1.0
14,143,1.0
14,831,1.0
15,330,1.0
15,380,1.0
15,691,1.0
15,888,1.0
16,468,1.0
16,968,1.0
17,462,1.0
17,982,1.0
18,84,1.0
18,368,1.0
18,422,1.0
18,430,1.0
18,581,1.0
19,109,1.0
19,251,1.0
20,377,1.0
20,455,1.0
21,218,65.0
21,249,47.0
21,498,1.0
22,567,23.0
22,762,1.0
23,55,1.0
23,76,5.0
23,195,1.0
23,198,5.0
23,237,3.0
23,250,3.0
23,421,15.0
23,424,20.0
23,428,31.0
23,472,1.0
23,535,1.0
23,561,2.0
23,580,1.0
23,700,3.0
23,847,35.0
23,852,5.0
23,966,1.0
24,307,675.0
24,405,1.0
25,73,1.0
25,922,1.0
26,146,1.0
26,443,1.0
27,119,1.0
27,910,1.0
28,312,165.0
28,359,1.0
29,64,1.0
29,296,1.0
30,777,1.0
30,925,1.0
31,637,1.0
31,718,1.0
32,284,985.0
32,684,2585.0
32,839,1.0
33,452,67.0
33,998,1.0
34,672,3.0
34,705,1.0
34,719,1.0
35,203,1.0
36,434,1.0
36,461,1.0
37,87,1.0
37,416,1.0
37,479,1.0
38,168,87.0
38,360,1.0
39,177,1.0
39,257,1.0
39,713,1.0
40,784,1.0
40,940,1.0
41,217,1.0
41,733,1.0
41,755,1.0
41,871,1.0
42,342,1.0
42,990,1.0
43,106,1.0
43,112,1.0
44,286,1.0
44,446,1.0
45,538,1.0
45,878,1.0
46,331,1.0
46,779,1.0
47,350,1.0
47,484,1.0
47,553,1.0
48,240,1.0
48,546,1.0
48,987,1.0
49,346,1.0
49,533,1.0
50,815,1.0
50,924,1.0
50,940,1.0
51,63,1.0
51,971,1.0
52,476,1.0
52,548,1.0
52,837,1.0
52,948,1.0
53,680,1.0
54,366,37.0
54,623,5.0
54,810,3.0
55,387,1.0
55,451,1.0
56,340,1.0
56,837,1.0
57,271,2.0
57,425,2.0
57,489,1.0
57,820,1.0
58,322,1.0
58,855,1.0
59,374,13.0
59,944,1.0
60,79,1.0
60,111,1.0
60,622,1.0
60,762,1.0
60,880,1.0
60,887,1.0
61,446,1.0
61,935,1.0
62,135,1.0
62,835,1.0
63,863,1.0
64,84,1.0
64,233,1.0
64,241,1.0
64,566,1.0
64,610,1.0
64,881,1.0
64,907,1.0
65,325,1.0
65,531,1.0
65,760,1.0
66,498,1.0
66,564,1.0
67,900,1.0
