0	0	421	0
1	0	1	0
2	0	31	0
3	0	1	0
4	0	1	0
5	0	1	0
6	0	91	0
7	0	11	0
8	0	1	0
9	86	1071	170
10	0	11	0
11	0	11	0
12	86	241	170
13	0	11	0
14	0	1	0
15	0	1	0
16	86	661	170
17	0	111	0
18	86	381	170
19	0	1	0
20	86	2571	1102
21	85	1	332
22	86	221	170
23	0	281	0
24	86	181	170
25	85	121401	3120
26	86	461	170
27	0	21	0
28	86	471	170
29	0	21	0
30	86	10681	170
31	86	1571	170
32	86	4451	170
33	0	871	0
34	86	251	170
35	86	51	170
36	0	1	0
37	0	1	0
38	0	1	0
39	0	1	0
40	86	53271	170
41	0	11	0
42	0	771	0
43	0	1	0
44	86	30191	3390
45	86	691	170
46	0	141	0
47	0	11	0
48	0	1	0
49	86	10071	336
50	0	1541	0
51	0	811	0
52	0	1	0
53	0	131	0
54	0	1	0
55	0	1	0
56	86	1031	170
57	0	1	0
58	86	101	336
59	86	2361	170
60	0	1	0
61	0	1	0
62	86	19171	170
63	86	321	170
64	0	1	0
65	0	1	0
66	0	11	0
67	0	1	0
68	0	1	0
69	84	8941	166
70	86	8891	1378
71	84	1021	166
72	0	181	0
73	0	1	0
74	0	1	0
75	0	381	0
76	0	11	0
77	0	1	0
78	86	2551	956
79	0	21	0
80	84	1201	436
81	83	211	164
82	0	1	0
83	0	91	0
84	0	1	0
85	85	1881	492
86	0	1	0
87	86	261	170
88	0	1	0
89	0	1	0
90	86	5181	656
91	0	1121	0
92	86	24421	656
93	0	1	0
94	86	62781	3344
95	0	151	0
96	0	1	0
97	86	4181	498
98	0	1	0
99	0	101	0
100	0	1	0
101	86	441	170
102	86	361	170
103	86	451	170
104	86	221	170
105	86	2511	170
106	0	1	0
107	0	1	0
108	0	21	0
109	0	1	0
110	0	1	0
111	86	401	170
112	86	1131	498
113	86	841	170
114	0	21	0
115	0	1	0
116	0	1	0
117	0	31	0
118	0	1	0
119	0	1	0
120	0	1	0
121	0	1	0
122	0	1	0
123	86	901	170
124	0	1	0
125	86	15771	170
126	0	1	0
127	0	71	0
128	0	211	0
129	0	1	0
130	0	1	0
131	0	1	0
132	85	1211	332
133	0	71	0
134	86	411	170
135	0	211	0
136	0	411	0
137	0	1	0
138	0	1	0
139	0	1	0
140	0	211	0
141	0	1	0
142	0	1	0
143	86	7291	330
144	0	41	0
145	0	1	0
146	0	1	0
147	0	521	0
148	0	11	0
149	86	1021	336
150	0	1	0
151	0	371	0
152	0	1	0
153	86	5751	170
154	0	941	0
155	0	1	0
156	86	67951	1644
157	0	251	0
158	86	9821	170
159	86	2061	170
160	86	331	170
161	86	4451	336
162	0	1	0
163	0	31	0
164	0	1	0
165	60	3331	118
166	0	1	0
167	4	241	6
168	3	911	4
169	86	111	170
170	0	1	0
171	0	341	0
172	0	31	0
173	0	111	0
174	0	1	0
175	0	211	0
176	4	211	6
177	0	41	0
178	0	1	0
179	0	1	0
180	86	29961	170
181	86	381	170
182	0	71	0
183	0	1	0
184	86	3561	334
185	0	1	0
186	0	1	0
187	86	381	498
188	86	7811	170
189	86	3121	810
190	84	611	166
191	86	16691	170
192	3	1	4
193	27	861	52
194	0	1	0
195	0	1081	0
196	0	1	0
197	0	1	0
198	0	1	0
199	86	54661	2688
200	0	1	0
201	86	11651	336
202	86	156781	336
203	0	1	0
204	0	1	0
205	0	421	0
206	0	1	0
207	83	291	164
208	0	191	0
209	0	1	0
210	0	71	0
211	0	1	0
212	0	1	0
213	86	331	170
214	86	1451	170
215	86	981	170
216	0	11	0
217	86	1581	170
218	0	1	0
219	0	1	0
220	0	1	0
221	0	1	0
222	0	1	0
223	0	11	0
224	86	1301	170
225	0	1	0
226	86	341	170
227	0	1	0
228	0	1	0
229	86	611	170
230	0	1	0
231	86	231	170
232	86	2191	170
233	3	491	4
234	86	11291	170
235	86	241	170
236	86	231	170
237	86	26561	170
238	0	171	0
239	86	451	170
