※最後の1回が代表してプロットされています。
0	1000	232	5978
1	999	22	1996
2	999	17	1996
3	0	41	0
4	1000	279	1998
5	2	12	2
6	999	14	1996
7	17	471	104
8	999	83	1996
9	1000	43	3988
10	987	804	7858
11	0	335	0
12	0	64	0
13	0	37	0
14	0	50	0
15	1000	786	1998
16	0	18	0
17	1000	102	1998
18	1000	112	1998
19	6	61	10
20	995	41	1988
21	0	114	0
22	0	138	0
23	1000	1005	1998
24	999	26	3956
25	1000	168	5946
26	0	33	0
27	1000	627	1998
28	0	91	0
29	999	15	1996
30	2	15	2
31	6	60	16
32	999	64	3988
33	997	51	7936
34	998	59	1994
35	996	274	3964
36	993	462	13782
37	1000	126	1998
38	0	197	0
39	0	718	0
40	1000	122	1998
41	999	202	3986
42	999	548	11912
43	1000	150	1998
44	1000	151	1998
45	166	3723	7376
46	0	222	0
47	988	735	9826
48	861	4608	44872
49	26	144	50
50	975	124	1948
51	11	135	20
52	0	522	0
53	999	137	3984
54	998	131	1994
55	19	713	180
56	996	141	1990
57	990	1441	19570
58	999	230	5972
59	1000	107	1998
60	1000	71	1998
61	999	94	3986
62	1000	1541	5976
63	0	51	0
64	0	201	0
65	0	44	0
66	5	299	12
67	997	569	3980
68	1000	89	1998
69	0	67	0
70	0	86	0
71	0	270	0
72	0	121	0
73	999	37	3986
74	4	56	6
75	998	61	5964
76	4	54	6
77	0	36	0
78	1000	86	1998
79	0	26	0
80	0	66	0
81	1000	225	1998
82	1000	459	1998
83	0	127	0
84	0	219	0
85	1000	45	1998
86	0	27	0
87	1000	191	3992
88	0	67	0
89	997	26	1992
90	4	36	6
91	998	54	1994
92	1000	1615	5970
93	0	291	0
94	0	44	0
95	996	57	1990
96	3	42	4
97	5	71	8
98	996	93	1990
99	9	77	16
100	998	142	5958
101	1000	46	1998
102	4	69	6
103	1000	43	1998
104	11	99	54
105	0	22	0
106	1000	38	1998
107	1000	75	1998
108	0	25	0
109	0	29	0
110	0	230	0
111	1000	91	1998
112	999	384	5988
113	1000	55	2000
114	11	107	36
115	2	20	2
116	999	16	1996
117	16	79	36
118	1000	35	1998
119	22	89	82
120	981	87	3922
121	0	65	0
122	994	83	1986
123	0	160	0
124	997	64	3976
125	1000	1582	5966
126	0	69	0
127	999	45	1996
128	0	775	0
129	1000	42	3990
130	1000	2626	7964
131	0	125	0
132	999	36	1996
133	1000	104	3990
134	0	17	0
135	1000	1055	1998
136	2	64	2
137	995	136	1988
138	2	76	2
139	4	98	6
140	1000	19	1998
141	0	9	0
142	0	57	0
143	1000	111	1998
144	1000	46	1998
145	0	30	0
146	1000	33	1998
147	0	15	0
148	1000	1069	1998
149	0	21	0
150	0	93	0
151	1000	685	1998
152	995	62	1988
153	5	110	8
154	998	177	7942
155	1000	58	1998
156	0	83	0
157	1000	68	2002
158	0	16	0
159	1000	36	1998
160	8	34	14
161	993	34	1984
162	2	56	2
163	0	49	0
164	999	140	1996
165	0	27	0
166	1000	73	1998
167	2	26	2
168	0	72	0
169	1000	136	1998
170	5	16	8
171	1000	36	2002
172	1000	71	1998
173	0	17	0
174	0	23	0
175	1000	627	1998
176	1000	52	3966
177	173	1924	1020
178	0	280	0
179	0	198	0
180	0	88	0
181	830	1964	4936
182	989	153	1976
183	2	45	2
184	0	55	0
185	1000	81	1998
186	999	127	1996
187	2	25	2
188	0	94	0
189	0	516	0
190	996	244	1990
191	1000	84	1998
192	998	3163	17778
193	0	1875	0
194	1000	96	1998
195	1000	113	3986
196	11	292	36
197	1000	115	5972
198	1000	23	1998
199	3	29	4
200	1000	34	1998
201	3	30	4
202	999	33	1996
203	7	198	20
204	3	36	4
205	994	571	3966
206	999	47	1996
207	2	21	2
208	0	16	0
209	1000	1060	1998
210	998	2891	5964
211	1000	84	1998
212	0	125	0
213	0	184	0
214	0	130	0
215	997	82	1992
216	0	91	0
217	0	385	0
218	2	22	2
219	999	38	1996
220	999	19	3988
221	1000	19	1998
222	999	46	1996
223	2	30	2
224	999	32	2026
225	19	24	36
226	6	32	10
227	995	38	1988
228	2	60	2
229	999	167	1996
230	0	24	0
231	2	30	2
232	999	60	1996
233	999	28	1996
234	1000	1486	5978
235	0	49	0
236	1000	651	1998
237	4	31	6
238	997	39	1992
239	1000	128	1998
240	0	44	0
241	0	15	0
242	1000	135	1998
243	1000	45	3990
244	999	33	1996
245	998	15	1994
246	1000	633	3988
247	1000	140	1998
248	0	32	0
249	983	81	1964
250	10	77	18
251	1000	304	1998
252	0	22	0
253	1000	54	5972
254	998	24	3982
255	2	14	2
256	999	76	1996
257	1000	66	1998
258	996	22	1990
259	5	26	8
260	0	31	0
261	999	44	1996
262	999	66	3986
263	2	30	2
264	999	29	1996
265	4	19	6
266	1000	992	1998
267	0	24	0
268	0	107	0
269	0	21	0
270	1000	65	1998
271	2	31	2
272	999	75	1996
273	0	25	0
274	1000	1527	1998
275	0	93	0
276	1000	340	1998
277	0	20	0
278	0	134	0
279	1000	610	1998
280	984	24	1966
281	0	23	0
282	0	81	0
283	0	113	0
284	1000	1143	1998
285	1000	69	1998
286	0	17	0
287	25	411	132
288	0	469	0
289	0	143	0
290	997	836	27452
291	1000	167	1998
292	1000	165	1998
293	15	505	28
294	0	441	0
295	1000	569	9948
296	1000	129	1998
297	16	637	56
298	0	308	0
299	0	227	0
300	1000	70	1998
301	0	28	0
302	987	36	1972
303	999	33	1996
304	1000	140	5978
305	999	36	1996
306	0	32	0
307	1000	122	1998
308	1000	626	1998
309	999	27	1996
310	2	13	2
311	1000	1593	5978
312	998	60	1994
313	0	97	0
314	0	41	0
315	1000	54	1998
316	4	56	6
317	1000	54	3990
318	0	93	0
319	977	319	5842
320	0	11	0
321	1000	23	1998
322	999	23	1996
323	4	84	8
324	0	47	0
325	998	100	1996
326	999	42	1996
327	1000	1332	5978
328	0	58	0
329	999	112	3988
330	0	70	0
331	0	584	0
332	1000	2559	1998
333	0	78	0
334	0	216	0
335	0	734	0
336	3	18	4
337	998	14	1994
338	999	200	1996
339	2	26	2
340	0	58	0
341	0	34	0
342	1000	471	1998
343	2	31	2
344	999	36	1996
345	0	1094	0
346	1000	191	5974
347	1000	59	1998
348	1000	1912	11920
349	1000	108	1998
350	0	385	0
351	1000	611	7960
352	997	64	1992
353	1000	41	1998
354	999	36	1996
355	2	21	2
356	999	37	1996
357	998	38	1994
358	3	30	4
359	1000	1007	1998
360	2	19	2
361	999	47	1996
362	3	57	4
363	0	34	0
364	998	110	1994
365	1000	1006	1998
366	0	286	0
367	2	31	2
368	999	39	1996
369	3	65	4
370	998	83	3982
371	1000	115	1998
372	0	17	0
373	997	56	1992
374	32	113	62
375	969	113	1936
376	999	19	1996
377	2	9	2
378	998	50	1994
379	3	54	4
380	6	107	16
381	993	227	3960
382	5	172	12
383	998	60	1994
384	1000	992	3990
385	0	138	0
386	999	33	1996
387	0	77	0
388	1000	109	1998
389	999	34	1996
390	0	28	0
391	1000	982	3982
392	1000	517	9932
393	1000	55	1998
394	1000	61	1998
395	996	54	3974
396	0	206	0
397	0	24	0
398	1000	304	1998
399	999	124	1996
400	2	26	2
401	992	24	1982
402	999	18	3972
403	997	68	1992
404	4	62	8
405	6	43	10
406	3	51	4
407	998	1341	13808
408	997	138	3974
409	0	239	0
410	9	258	28
411	998	94	3962
412	0	133	0
413	998	84	1994
414	993	135	1984
