0	86	2302836	908
1	82	2234637	1784
2	78	1573247	1534
3	86	1334180	652
4	71	316508	896
5	86	404656	170
6	86	2102347	170
7	86	1967626	336
8	86	1275353	170
9	86	1305721	170
10	86	284571	170
11	67	369262	132
12	86	124975	170
13	73	149104	144
14	0	77653	0
15	0	104720	0
16	86	281648	170
17	86	273932	332
18	86	192620	170
19	86	201314	810
20	85	133397	168
21	86	140637	496
22	86	182858	170
23	84	162763	166
24	86	350332	170
25	81	170154	160
26	86	374455	170
27	86	382180	170
28	86	171404	170
29	86	176766	170
30	86	307719	170
31	86	326071	170
32	86	123528	170
33	85	140227	168
34	86	401739	170
35	86	375569	170
36	86	31492	170
37	0	29088	0
38	0	52635	0
39	0	330574	0
40	86	177343	170
41	0	132914	0
42	0	468155	0
43	84	281204	166
44	84	437180	166
45	86	287579	170
46	0	134836	0
47	61	208405	120
48	0	56142	0
49	0	30049	0
50	0	122250	0
51	0	38996	0
52	0	84819	0
53	0	128491	0
54	0	145224	0
55	0	59085	0
56	0	220078	0
57	0	195004	0
58	0	211641	0
59	0	25936	0
60	0	103896	0
61	0	19153	0
62	0	31641	0
63	0	85630	0
64	0	102674	0
65	0	5334	0
66	0	2974	0
67	0	8436	0
68	0	8386	0
69	0	70385	0
70	0	56605	0
71	0	201353	0
72	0	212480	0
73	71	418320	140
74	86	421551	334
75	76	96133	150
76	86	44301	170
77	0	15620	0
78	0	28913	0
79	0	143039	0
80	0	130860	0
81	0	79603	0
82	0	96298	0
83	0	171851	0
84	14	140333	26
85	85	152834	168
86	86	148772	170
87	0	44602	0
88	0	32368	0
89	0	258533	0
90	16	256388	30
91	86	754638	170
92	85	640082	332
93	0	127617	0
94	0	324911	0
95	0	223796	0
96	0	197234	0
97	16	223586	30
98	84	213068	166
99	86	319189	170
100	86	322611	170
101	16	365836	30
102	86	363662	170
103	86	234773	170
104	86	221711	170
105	86	299492	170
106	0	94582	0
107	18	388960	150
108	83	404517	324
109	0	514855	0
110	0	545270	0
111	20	337719	38
112	71	297602	140
113	86	404258	170
114	0	372585	0
115	85	574819	616
116	86	581186	498
117	0	25629	0
118	0	23558	0
119	0	90826	0
120	0	58242	0
121	0	24017	0
122	0	34972	0
123	0	21546	0
124	0	35631	0
125	0	19359	0
126	0	100126	0
127	0	17502	0
128	0	44834	0
129	0	123908	0
130	0	110262	0
131	0	19111	0
132	0	14847	0
133	0	19927	0
134	0	22150	0
135	0	6971	0
136	0	9198	0
137	86	54230	170
138	84	48440	166
139	86	43758	170
140	0	4321	0
141	0	3918	0
142	0	10494	0
143	0	43583	0
144	0	28957	0
145	0	22642	0
146	0	33818	0
147	0	81326	0
148	0	39667	0
149	0	49358	0
150	0	53228	0
151	0	65453	0
152	9	327272	28
153	86	276287	170
154	0	46578	0
155	0	63796	0
156	0	23999	0
157	0	28024	0
158	11	91540	20
159	86	34280	170
160	82	406139	174
161	86	111124	336
162	0	15249	0
163	86	21570	170
164	0	1174	0
165	3	128457	4
166	3	126298	4
167	0	86894	0
168	0	87535	0
169	86	86028	170
170	0	130951	0
171	3	197157	4
172	0	142528	0
173	0	75545	0
174	0	93634	0
175	0	138792	0
176	0	25304	0
177	0	21078	0
178	0	4086	0
179	0	23158	0
180	86	14108	170
181	0	36018	0
182	0	43247	0
183	0	20031	0
184	2	54576	2
185	0	43436	0
186	84	38145	166
187	86	67177	498
188	86	32673	170
189	0	39313	0
190	2	15982	2
191	86	10359	170
192	85	19065	168
193	0	45361	0
194	3	214877	4
195	0	100686	0
196	0	39777	0
197	0	60146	0
198	0	52866	0
199	2	139567	2
200	0	32511	0
201	0	14901	0
202	0	8760	0
203	0	14678	0
204	0	14690	0
205	0	31289	0
206	0	13900	0
207	0	46879	0
208	0	40429	0
209	0	14266	0
210	2	133189	2
211	0	136611	0
212	0	14424	0
213	0	29607	0
214	86	30712	170
215	3	47769	4
216	3	37274	4
217	0	23662	0
218	0	31114	0
219	0	1980	0
220	0	5775	0
221	0	39495	0
222	78	279906	156
223	0	30679	0
224	77	31429	152
225	86	112739	170
226	0	37452	0
227	10	33110	18
228	4	287638	6
229	0	82731	0
230	86	61996	336
231	86	24873	170
232	0	16038	0
233	0	9911	0
234	0	15860	0
235	85	46798	168
236	86	8042	170
237	86	46072	170
238	12	355634	22
239	86	19761	170
