0	1	2834.0
0	2	3077.0
0	3	1357.0
0	4	2562.0
0	5	2796.0
0	7	199.0
0	8	398.0
0	9	800.0
0	10	570.0
0	11	95.0
0	12	208.0
0	13	394.0
0	14	188.0
0	15	385.0
0	16	282.0
0	17	380.0
0	18	111.0
0	19	333.0
0	20	103.0
0	21	380.0
0	22	295.0
0	23	324.0
0	24	213.0
0	25	559.0
0	26	119.0
0	27	1892.0
0	28	85.0
0	29	750.0
0	30	87.0
0	31	325.0
0	32	429.0
0	33	187.0
0	34	310.0
0	35	487.0
0	36	81.0
0	37	115.0
0	38	195.0
0	39	286.0
0	40	785.0
0	41	436.0
0	42	85.0
0	43	176.0
0	44	909.0
0	45	600.0
0	46	350.0
0	47	503.0
0	48	1708.0
0	49	886.0
0	50	146.0
0	51	429.0
0	52	813.0
1	2	1689.0
1	3	785.0
1	4	1470.0
1	5	1504.0
1	6	901.0
1	7	113.0
1	8	226.0
1	9	463.0
1	12	108.0
1	13	218.0
1	14	90.0
1	15	234.0
1	17	234.0
1	24	125.0
1	25	337.0
1	27	919.0
1	29	427.0
1	34	193.0
1	35	247.0
1	53	493.0
1	54	384.0
1	55	195.0
1	56	108.0
1	61	83.0
1	62	208.0
1	63	105.0
1	72	185.0
2	4	1543.0
2	5	1649.0
2	6	1004.0
2	8	257.0
2	9	468.0
2	10	336.0
2	15	249.0
2	16	143.0
2	17	235.0
2	19	172.0
2	32	260.0
2	33	105.0
2	40	445.0
2	41	243.0
2	44	545.0
2	45	354.0
2	46	212.0
2	47	317.0
2	48	966.0
2	49	564.0
2	53	543.0
2	54	399.0
2	55	231.0
2	56	134.0
2	57	33.0
2	58	121.0
2	59	136.0
2	60	118.0
3	4	713.0
3	5	733.0
3	6	462.0
3	9	231.0
3	10	174.0
3	13	102.0
3	40	230.0
3	43	48.0
3	44	226.0
3	48	446.0
3	52	235.0
3	53	208.0
4	5	1397.0
4	6	833.0
4	25	264.0
4	27	873.0
4	32	190.0
4	38	99.0
4	40	421.0
4	41	210.0
4	47	252.0
4	48	861.0
4	49	498.0
4	52	450.0
4	53	490.0
4	54	316.0
4	55	211.0
4	60	160.0
4	63	117.0
4	72	188.0
4	73	304.0
4	74	120.0
4	75	87.0
4	77	59.0
5	6	998.0
5	25	346.0
5	27	961.0
5	29	426.0
5	34	174.0
5	35	257.0
5	39	177.0
5	40	422.0
5	44	476.0
5	45	329.0
5	47	270.0
5	48	989.0
5	49	459.0
5	50	94.0
5	51	209.0
5	52	458.0
5	53	499.0
5	54	349.0
5	62	201.0
5	72	204.0
5	81	213.0
5	82	121.0
5	83	99.0
5	84	55.0
6	10	192.0
6	25	186.0
6	27	625.0
6	31	129.0
6	35	170.0
6	39	94.0
6	40	255.0
6	46	135.0
6	48	586.0
6	52	295.0
6	53	301.0
6	54	189.0
8	64	27.0
9	10	107.0
9	27	316.0
9	64	52.0
9	65	1.0
10	27	211.0
13	27	148.0
15	73	46.0
16	64	32.0
17	27	139.0
19	73	40.0
21	22	24.0
21	66	13.0
21	67	1.0
22	68	14.0
23	68	6.0
23	69	1.0
25	53	94.0
27	40	268.0
27	44	321.0
27	45	235.0
27	46	121.0
27	47	157.0
27	48	566.0
27	52	290.0
27	53	299.0
27	54	187.0
29	31	69.0
29	44	136.0
29	48	290.0
29	52	124.0
29	62	58.0
31	62	23.0
32	58	13.0
35	53	58.0
40	48	242.0
41	73	51.0
44	74	32.0
44	75	33.0
44	76	1.0
45	73	73.0
45	77	13.0
48	49	286.0
48	59	64.0
48	60	91.0
48	72	121.0
48	78	54.0
48	79	63.0
48	80	95.0
48	81	136.0
49	78	22.0
49	79	35.0
49	80	47.0
49	81	50.0
51	52	75.0
51	85	1.0
52	84	15.0
54	73	85.0
55	73	41.0
61	64	13.0
66	70	1.0
66	71	1.0
80	81	17.0
82	83	1.0
